ssh aile;Device;Adresse-IP;Racine-nom-CVS;Numversion:1.7;DateRevision: 28/07/2022
ANATOMIX;I13-LT-C00/CA/BAI.1551-MOS.3-CB;172.20.28.64;ANATOMIX_B1551_MOS3_parameters;;
ANATOMIX;I13-LT-C00/CA/BAI.1551-MOS.4-CB;172.20.28.65;ANATOMIX_B1551_MOS4_parameters;;
ANATOMIX;I13-LT-C00/CA/BAI.1551-MOS.5-CB;172.20.28.66;ANATOMIX_B1551_MOS5_parameters;;
ANATOMIX;I13-LT-C00/CA/BAI.1552-MOS.1-CB;172.20.28.67;ANATOMIX_B1552_MOS1_parameters;;
ANATOMIX;I13-LT-C00/CA/BAI.1552-MOS.2-CB;172.20.28.68;ANATOMIX_B1552_MOS2_parameters;;
ANATOMIX;I13-LT-C00/CA/BAI.1552-MOS.3-CB;172.20.28.69;ANATOMIX_B1552_MOS3_parameters;;
ANATOMIX;I13-LT-C00/CA/BAI.1552-MOS.4-CB;172.20.28.70;ANATOMIX_B1552_MOS4_parameters;;
ANATOMIX;I13-LT-C00/CA/BAI.1552-MOS.5-CB;172.20.28.71;ANATOMIX_B1552_MOS5_parameters;;
ANATOMIX;I13-LT-C00/CA/BAI.1554-MOS.1-CB;172.20.28.72;ANATOMIX_B1554_MOS1_parameters;;
ANATOMIX;I13-LT-C00/CA/BAI.1554-MOS.2-CB;172.20.28.73;ANATOMIX_B1554_MOS2_parameters;;
ANATOMIX;I13-LT-C00/CA/BAI.1554-MOS.3-CB;172.20.28.74;ANATOMIX_B1554_MOS3_parameters;;
ANATOMIX;I13-LT-C00/CA/BAI.1554-MOS.4-CB;172.20.28.75;ANATOMIX_B1554_MOS4_parameters;;
ANATOMIX;I13-LT-C00/CA/BAI.1558-MOS.1-CB;172.20.28.76;ANATOMIX_B1558_MOS1_parameters;;
ANATOMIX;I13-LT-C00/CA/BAI.1558-MOS.2-CB;172.20.28.77;ANATOMIX_B1558_MOS2_parameters;;
ANATOMIX;I13-LT-C00/CA/BAI.1558-MOS.3-CB;172.20.28.78;ANATOMIX_B1558_MOS3_parameters;;
ANATOMIX;I13-LT-C00/CA/BAI.1558-MOS.4-CB;172.20.28.79;ANATOMIX_B1558_MOS4_parameters;;
ANATOMIX;I13-LT-C00/CA/BAI.1558-MOS.5-CB;172.20.28.80;ANATOMIX_B1558_MOS5_parameters;;
ANATOMIX;I13-LT-C00/CA/BAI.1600-MOS.2-CB;172.20.28.85;ANATOMIX_B1600_MOS2_parameters;;
ANATOMIX;I13-LT-C00/CA/BAI.1600-MOS.3-CB;172.20.28.86;ANATOMIX_B1600_MOS3_parameters;;
ANATOMIX;I13-LT-C00/CA/BAI.1600-MOS.4-CB;172.20.28.87;ANATOMIX_B1600_MOS4_parameters;;
;;;;;
ANTARES;I12-M-C00/CA/BAI.1301-MOS.1-CB;172.20.24.48;ANTARES_B1301_MOS1_parameters;;
ANTARES;I12-M-C00/CA/BAI.1301-MOS.2-CB;172.20.24.49;ANTARES_B1301_MOS2_parameters;;
ANTARES;I12-M-C00/CA/BAI.1301-MOS.3-CB;172.20.24.51;ANTARES_B1301_MOS3_parameters;;
ANTARES;I12-M-C00/CA/BAI.1302-MOS.1-CB;172.20.24.70;ANTARES_B1302_MOS1_parameters;;
ANTARES;I12-M-C00/CA/BAI.1316-MOS.1-CB;172.20.24.54;ANTARES_B1316_MOS1_parameters;;
;;;;;
CASSIOPEE;I15-M-C00/CA/BAI.1000-MOS.1-CB;172.20.17.49;CASSIOPEE_B1000_MOS1_parameters;;
CASSIOPEE;I15-M-C00/CA/BAI.1000-MOS.2-CB;172.20.17.48;CASSIOPEE_B1000_MOS2_parameters;;
CASSIOPEE;I15-M-C00/CA/BAI.1002-MOS.1-CB;172.20.17.50;CASSIOPEE_B1002_MOS1_parameters;;
CASSIOPEE;I15-M-C00/CA/BAI.1002-MOS.2-CB;172.20.17.51;CASSIOPEE_B1002_MOS2_parameters;;
;;;;;
CRISTAL;I06-C-C00/CA/BAI.1220-MOS.1-CB;172.20.16.54;CRISTAL_B1220_MOS1_parameters;;
CRISTAL;I06-C-C00/CA/BAI.1220-MOS.2-CB;172.20.16.55;CRISTAL_B1220_MOS2_parameters;;
CRISTAL;I06-C-C00/CA/BAI.1220-MOS.3-CB;172.20.16.56;CRISTAL_B1220_MOS3_parameters;;
CRISTAL;I06-C-C00/CA/BAI.1221-MOS.1-CB;172.20.16.57;CRISTAL_B1221_MOS1_parameters;;
CRISTAL;I06-C-C00/CA/BAI.1221-MOS.2-CB;172.20.16.58;CRISTAL_B1221_MOS2_parameters;;
CRISTAL;I06-C-C00/CA/BAI.1223-MOS.1-CB;172.20.16.59;CRISTAL_B1223_MOS1_parameters;;
CRISTAL;I06-C-C00/CA/BAI.1223-MOS.2-CB;172.20.16.60;CRISTAL_B1223_MOS2_parameters;;
CRISTAL;I06-C-C00/CA/BAI.1223-MOS.3-CB;172.20.16.61;CRISTAL_B1223_MOS3_parameters;;
CRISTAL;I06-C-C00/CA/BAI.1223-MOS.4-CB;172.20.16.62;CRISTAL_B1223_MOS4_parameters;;
CRISTAL;I06-C-C00/CA/BAI.1223-MOS.5-CB;172.20.16.67;CRISTAL_B1223_MOS5_parameters;;
CRISTAL;I06-C-C00/CA/BAI.1224-MOS.1-CB;172.20.16.63;CRISTAL_B1224_MOS1_parameters;;
CRISTAL;I06-C-C00/CA/BAI.1224-MOS.2-CB;172.20.16.64;CRISTAL_B1224_MOS2_parameters;;
CRISTAL;I06-C-C00/CA/BAI.1229-MOS.1-CB;172.20.16.73;CRISTAL_B1229_MOS1_parameters;;
CRISTAL;I06-C-C00/CA/BAI.1229-MOS.2-CB;172.20.16.74;CRISTAL_B1229_MOS2_parameters;;
CRISTAL;I06-C-C00/CA/BAI.1230-MOS.1-CB;172.20.16.72;CRISTAL_B1230_MOS1_parameters;;
CRISTAL;I06-C-C00/CA/BAI.1231-MOS.1-CB;172.20.16.71;CRISTAL_B1231_MOS1_parameters;;
;;;;;
DEIMOS;I07-M-C02/CA/BAI.1441-MOS.1-CB;172.20.8.48;DEIMOS_B1441_MOS1_parameters;;
DEIMOS;I07-M-C02/CA/BAI.1441-MOS.2-CB;172.20.8.49;DEIMOS_B1441_MOS2_parameters;;
DEIMOS;I07-M-C02/CA/BAI.1441-MOS.3-CB;172.20.8.50;DEIMOS_B1441_MOS3_parameters;;
DEIMOS;I07-M-C02/CA/BAI.1443-MOS.1-CB;172.20.8.51;DEIMOS_B1443_MOS1_parameters;;
DEIMOS;I07-M-C02/CA/BAI.1443-MOS.2-CB;172.20.8.54;DEIMOS_B1443_MOS2_parameters;;
DEIMOS;I07-M-C02/CA/BAI.1445-MOS.1-CB;172.20.8.52;DEIMOS_B1445_MOS1_parameters;;
DEIMOS;I07-M-C02/CA/BAI.1445-MOS.2-CB;172.20.8.53;DEIMOS_B1445_MOS2_parameters;;
;;;;;
DESIRS;I05-L-C00/CA/BAI.1082-MOS.1-CB;172.20.5.48;DESIRS_B1082_MOS1_parameters;;
DESIRS;I05-L-C00/CA/BAI.1082-MOS.2-CB;172.20.5.49;DESIRS_B1082_MOS2_parameters;;
DESIRS;I05-L-C00/CA/BAI.1082-MOS.3-CB;172.20.5.50;DESIRS_B1082_MOS3_parameters;;
